Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round,Has_P
Indian Institute of Technology (BHU) Varanasi,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,149,364,2018,7,FALSE
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,6792,11186,2018,7,FALSE
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),13629,15272,2018,7,FALSE
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3475,4509,2018,7,FALSE
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5917,5917,2018,7,FALSE
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2034,2269,2018,7,FALSE
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),611,611,2018,7,FALSE
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",ST,Gender-Neutral,157,680,2018,7,FALSE
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,10625,11341,2018,7,FALSE
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Female-only (including Supernumerary),14136,15789,2018,7,FALSE
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Gender-Neutral,3979,4608,2018,7,FALSE
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,2127,2244,2018,7,FALSE
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,855,855,2018,7,FALSE
Indian Institute of Technology Guwahati,"Bio Technology (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5543,8265,2018,7,FALSE
Indian Institute of Technology Guwahati,"Bio Technology (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),9545,11021,2018,7,FALSE
Indian Institute of Technology Guwahati,"Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3056,3907,2018,7,FALSE
Indian Institute of Technology Guwahati,"Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5872,6446,2018,7,FALSE
Indian Institute of Technology Guwahati,"Bio Technology (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1788,1989,2018,7,FALSE
Indian Institute of Technology Guwahati,"Bio Technology (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2599,2599,2018,7,FALSE
Indian Institute of Technology Guwahati,"Bio Technology (4 Years, Bachelor of Technology)",ST,Gender-Neutral,163,901,2018,7,FALSE
Indian Institute of Technology Guwahati,"Bio Technology (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),687,687,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3970,4890,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),6601,7517,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1795,2381,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4569,4648,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,941,1182,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1493,1983,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,426,703,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),861,861,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5032,7089,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),8087,9048,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2132,3234,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4470,5033,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1308,1661,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2851,2851,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",ST,Gender-Neutral,834,863,2018,7,FALSE
Indian Institute of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),728,728,2018,7,FALSE
Indian Institute of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4436,5890,2018,7,FALSE
Indian Institute of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),8115,9122,2018,7,FALSE
Indian Institute of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1791,2146,2018,7,FALSE
Indian Institute of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3302,4374,2018,7,FALSE
Indian Institute of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,703,935,2018,7,FALSE
Indian Institute of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1849,2009,2018,7,FALSE
Indian Institute of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,247,344,2018,7,FALSE
Indian Institute of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),437,437,2018,7,FALSE
Indian Institute of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,333,554,2018,7,FALSE
Indian Institute of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),1002,1256,2018,7,FALSE
Indian Institute of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,9,9,2018,7,FALSE
Indian Institute of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,210,304,2018,7,FALSE
Indian Institute of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),562,748,2018,7,FALSE
Indian Institute of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,19,19,2018,7,FALSE
Indian Institute of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,117,149,2018,7,FALSE
Indian Institute of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),494,581,2018,7,FALSE
Indian Institute of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,35,122,2018,7,FALSE
Indian Institute of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),316,316,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1063,1564,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),2790,3274,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,90,97,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,542,759,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1626,1804,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,25,25,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,300,520,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),918,1153,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,226,328,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),373,373,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1115,1923,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),3440,3962,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,2,2,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,794,908,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1878,2126,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,440,541,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1191,1191,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,185,275,2018,7,FALSE
Indian Institute of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),559,559,2018,7,FALSE
Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2604,4451,2018,7,FALSE
Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),7899,8612,2018,7,FALSE
Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,22,22,2018,7,FALSE
Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2203,2611,2018,7,FALSE
Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3977,5120,2018,7,FALSE
Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1259,1486,2018,7,FALSE
Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2385,2385,2018,7,FALSE
Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,768,837,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,571,1039,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),1747,2556,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,7,7,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,340,543,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1140,1567,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Gender-Neutral,212,639,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),771,771,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Gender-Neutral,218,321,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),915,915,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2176,2942,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),5767,6381,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1033,1223,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2837,3249,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,517,664,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1313,1726,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,206,398,2018,7,FALSE
Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),558,558,2018,7,FALSE
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4196,5423,2018,7,FALSE
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),6179,7743,2018,7,FALSE
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1304,1976,2018,7,FALSE
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3272,3649,2018,7,FALSE
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,868,1171,2018,7,FALSE
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1908,1908,2018,7,FALSE
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,563,625,2018,7,FALSE
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,6192,7778,2018,7,FALSE
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),10156,10574,2018,7,FALSE
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2533,2948,2018,7,FALSE
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4585,4762,2018,7,FALSE
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1472,1660,2018,7,FALSE
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2145,2145,2018,7,FALSE
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,645,671,2018,7,FALSE
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,7152,8442,2018,7,FALSE
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),11359,11879,2018,7,FALSE
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2342,3273,2018,7,FALSE
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5744,6313,2018,7,FALSE
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1434,1546,2018,7,FALSE
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2616,2616,2018,7,FALSE
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,636,665,2018,7,FALSE
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),713,713,2018,7,FALSE
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3087,4045,2018,7,FALSE
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),6331,7581,2018,7,FALSE
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,75,75,2018,7,FALSE
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1403,1757,2018,7,FALSE
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3076,3076,2018,7,FALSE
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,764,866,2018,7,FALSE
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1787,1787,2018,7,FALSE
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,474,593,2018,7,FALSE
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4621,7223,2018,7,FALSE
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),9283,9777,2018,7,FALSE
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2415,2738,2018,7,FALSE
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4445,4445,2018,7,FALSE
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,958,1477,2018,7,FALSE
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2455,2455,2018,7,FALSE
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,460,566,2018,7,FALSE
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5745,7857,2018,7,FALSE
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),11646,12257,2018,7,FALSE
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2843,3151,2018,7,FALSE
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5391,5391,2018,7,FALSE
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1298,1643,2018,7,FALSE
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2421,2421,2018,7,FALSE
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,662,666,2018,7,FALSE
Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,8051,9252,2018,7,FALSE
Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),11834,12126,2018,7,FALSE
Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3000,3416,2018,7,FALSE
Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4338,4338,2018,7,FALSE
Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1507,1749,2018,7,FALSE
Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2917,2917,2018,7,FALSE
Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,498,501,2018,7,FALSE
Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),84,84,2018,7,FALSE
Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3652,4933,2018,7,FALSE
Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),6319,7628,2018,7,FALSE
Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1455,1889,2018,7,FALSE
Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3242,3263,2018,7,FALSE
Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,768,1202,2018,7,FALSE
Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1977,1977,2018,7,FALSE
Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,596,611,2018,7,FALSE
Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),123,123,2018,7,FALSE
Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5597,7449,2018,7,FALSE
Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),9739,10547,2018,7,FALSE
Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2443,2771,2018,7,FALSE
Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3439,3803,2018,7,FALSE
Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1331,1728,2018,7,FALSE
Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2775,2775,2018,7,FALSE
Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,599,715,2018,7,FALSE
Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),458,458,2018,7,FALSE
Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,6043,7987,2018,7,FALSE
Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),7035,10903,2018,7,FALSE
Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2623,2982,2018,7,FALSE
Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5517,5517,2018,7,FALSE
Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1597,1783,2018,7,FALSE
Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2939,2939,2018,7,FALSE
Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,769,776,2018,7,FALSE
Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),338,338,2018,7,FALSE
Indian Institute of Technology Tirupati,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,8094,9469,2018,7,FALSE
Indian Institute of Technology Tirupati,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),11114,12819,2018,7,FALSE
Indian Institute of Technology Tirupati,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3387,3709,2018,7,FALSE
Indian Institute of Technology Tirupati,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5892,5892,2018,7,FALSE
Indian Institute of Technology Tirupati,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1756,1922,2018,7,FALSE
Indian Institute of Technology Tirupati,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2693,2693,2018,7,FALSE
Indian Institute of Technology Tirupati,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,134,717,2018,7,FALSE
Indian Institute of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,8712,9219,2018,7,FALSE
Indian Institute of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),10860,11733,2018,7,FALSE
Indian Institute of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2754,3324,2018,7,FALSE
Indian Institute of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5089,5089,2018,7,FALSE
