Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round,Has_P
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,,5680,6554,2016,6,FALSE
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,,2247,2333,2016,6,FALSE
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,,1263,1337,2016,6,FALSE
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,,602,602,2016,6,FALSE
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,,6393,8482,2016,6,FALSE
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,1779,2986,2016,6,FALSE
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),,45,45,2016,6,FALSE
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,,1177,1405,2016,6,FALSE
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,,973,988,2016,6,FALSE
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,,838,1841,2016,6,FALSE
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),,94,94,2016,6,FALSE
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,408,1098,2016,6,FALSE
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),,45,45,2016,6,FALSE
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",SC,,297,468,2016,6,FALSE
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,,79,145,2016,6,FALSE
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,,422,1479,2016,6,FALSE
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),,51,75,2016,6,FALSE
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,447,974,2016,6,FALSE
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),,40,40,2016,6,FALSE
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,,257,572,2016,6,FALSE
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",SC (PwD),,3,3,2016,6,FALSE
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,,161,335,2016,6,FALSE
